times,shift
0.0,-1.5298804780876698
2.67,-4.111553784860565
5.33,-6.4063745019920155
8.0,-8.70119521912352
10.67,-10.231075697211136
13.33,11.665338645418306
16.0,8.509960159362521
18.67,4.9721115537848455
21.33,1.243027888446225
24.0,-1.625498007968115
