T_cycles,phase_angles
8,-4.5
12,-3.2000000000000455
16,-2.25
20,-1.5600000000000138
24,-1.1999999999999886
28,-0.9428571428571502
32,-0.674999999999983
36,-0.533333333333341
40,-0.4199999999999932
