T_cycles,phase_angles
8,-8.400000000000034
12,-6.100000000000023
16,-3.450000000000017
20,-4.5
24,-2.8000000000000114
28,1.0714285714285714
32,3.2999999999999936
36,4.400000000000015
40,5.1
