T_cycles,phase_angles
8,-10.5
12,-7.600000000000023
16,-4.949999999999974
20,-4.9800000000000075
24,-4.100000000000023
28,-1.2857142857142856
32,1.7624999999999957
36,3.2666666666666515
40,4.139999999999986
