T_cycles,phase_angles
8,-5.699999999999932
12,-4.0
16,-2.849999999999966
20,-2.0399999999999867
24,-1.3999999999999773
28,-0.9428571428571624
32,-0.6000000000000085
36,-0.4000000000000151
40,-0.23999999999998634
