T_cycles,phase_angles
8,-5.699999999999974
12,-4.2000000000000455
16,-3.0
20,-2.1600000000000135
24,-1.5
28,-1.0285714285714187
32,-0.674999999999983
36,-0.4666666666666591
40,-0.30000000000000004
