T_cycles,phase_angles
8,-9.900000000000034
12,-7.399999999999977
16,-4.7250000000000085
20,-4.439999999999987
24,-3.1000000000000227
28,-0.471428571428569
32,2.1000000000000085
36,3.5
40,4.350000000000017
