T_cycles,phase_angles
8,-5.549999999999983
12,-3.7999999999999545
16,-2.400000000000034
20,-1.5600000000000138
24,-1.0499999999999972
28,-0.6857142857142955
32,-0.48750000000000426
36,-0.3333333333333333
40,-0.23999999999998634
