T_cycles,phase_angles
8,-7.049999999999983
12,-5.199999999999989
16,0.0
20,-4.559999999999979
24,-2.200000000000017
28,2.142857142857143
32,3.450000000000017
36,4.4333333333333185
40,5.2199999999999935
