T_cycles,phase_angles
8,-9.0
12,-6.800000000000011
16,-4.425000000000004
20,-4.0199999999999925
24,-3.0
28,-0.8571428571428571
32,1.7250000000000085
36,3.3333333333333335
40,4.259999999999996
