T_cycles,phase_angles
8,-5.699999999999932
12,-3.7999999999999545
16,-2.400000000000034
20,-1.6799999999999728
24,-1.1000000000000227
28,-0.7714285714285518
32,-0.5249999999999915
36,-0.3333333333333333
40,-0.18000000000000682
