T_cycles,phase_angles
8,-8.25
12,-5.300000000000011
16,-3.75
20,-2.7
24,-1.8999999999999773
28,-1.4571428571428475
32,-0.825000000000017
36,-0.36666666666667425
40,0.6300000000000068
