T_cycles,phase_angles
8,-7.950000000000017
12,-5.600000000000023
16,-3.299999999999983
20,-3.8400000000000207
24,-3.1500000000000057
28,0.0
32,2.8125
36,4.166666666666686
40,4.9800000000000075
